#all numbers measured in meters.
yoctometers        , 1e-24            , 1
zeptometers        , 1e-21            , 1
attometers         , 1e-18            , 1
femtometers        , 1e-15            , 1
picometers         , 1e-12            , 1
nanometers         , 1e-9             , 1
micrometers        , 1e-6             , 1
millimeters        , 1e-3             , 0
centimeters        , 1e-2             , 0
decimeters         , 1e-1             , 1
meters             , 1                , 0
dekameters         , 1e1              , 1
hectometers        , 1e2              , 1
kilometers         , 1e3              , 0
megameters         , 1e6              , 1
gigameters         , 1e9              , 1
terameters         , 1e12             , 1
petameters         , 1e15             , 1
exameters          , 1e18             , 1
zettameters        , 1e21             , 1
yottameters        , 1e24             , 1
inches             , 0.0254           , 0
feet               , 0.3048           , 0
yards              , 0.9144           , 0
miles              , 1609.344         , 0
fathoms            , 1.8288           , 1
nautical_miles     , 1852             , 1
rods               , 5.0292           , 1
furlongs           , 201.168          , 1
chains             , 20.1168          , 1
astronomical_units , 149597870700     , 1
light_years        , 9460730472580800 , 1
light_seconds      , 299792458        , 1
planck_lengths     , 1.61619997e-35   , 1
