Samoa Tala                               , WST,, builtin
Communauté Financière Africaine (BEAC) CFA Franc BEAC    , XAF,, builtin
East Caribbean Dollar                                    , XCD,, builtin
International Monetary Fund (IMF) Special Drawing Rights , XDR,, builtin
Communauté Financière Africaine (BCEAO) Franc            , XOF,, builtin
Comptoirs Français du Pacifique (CFP) Franc              , XPF,, builtin
Yemen Rial                                               , YER,, builtin
South Africa Rand                                        , ZAR,, builtin
Zambia Kwacha                                            , ZMK,, builtin
Zimbabwe Dollar                                          , ZWD,, builtin
